"department","job_role","total_employees","employees_who_left","attrition_rate"
"Sales","Sales Representative",83,33,39.76
"Research & Development","Laboratory Technician",259,62,23.94
"Human Resources","Human Resources",52,12,23.08
"Sales","Sales Executive",326,57,17.48
"Research & Development","Research Scientist",292,47,16.10
"Research & Development","Manufacturing Director",145,10,6.90
"Research & Development","Healthcare Representative",131,9,6.87
"Research & Development","Manager",54,3,5.56
"Sales","Manager",37,2,5.41
"Research & Development","Research Director",80,2,2.50
